SampleID	mean	sd	measure	X.SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob.weight.grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample1	59.5184678959	8.3723516249	Inverse Simpson	Sample1	1	AS	2014	1	2	1	1	2.1	1.1	1.2.1	1.2.1.1	2014.1.2.1.1	Crown	1	A.1.1	AS.14.CR8.2.1.1	1	1	1	A	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6815257228	NA	NA	NA	NA	17.1509174164	NA	NA	NA	NA	NA	NA	1.2588985808	NA	NA
Sample2	1.3802111334	0.0814866172	Inverse Simpson	Sample2	1	AS	2014	1	2	4	4	2.4	1.4	1.2.4	1.2.4.1	2014.1.2.4.1	Crown	1	A.4.1	AS.14.CR8.2.4.1	2	1	1	B	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5445988975	NA	NA	NA	NA	0.5307121625	NA	NA	NA	NA	NA	NA	0.184893533	NA	NA
Sample3	35.337199902	7.0574816665	Inverse Simpson	Sample3	1	AS	2014	1	1	1	1	1.1	1.1	1.1.1	1.1.1.2	2014.1.1.1.2	Crown	1	C.1.2	AS.14.CR8.1.1.2	3	1	1	C	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.528999622	NA	NA	NA	NA	2.2454756815	NA	NA	NA	NA	NA	NA	0.5112783593	NA	NA
Sample4	42.0786642419	7.4435261719	Inverse Simpson	Sample4	1	AS	2014	1	2	4	4	2.4	1.4	1.2.4	1.2.4.2	2014.1.2.4.2	Crown	1	A.4.2	AS.14.CR8.2.4.2	4	1	1	D	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5858369759	NA	NA	NA	NA	0.3023475882	NA	NA	NA	NA	NA	NA	0.1147269101	NA	NA
Sample5	75.8682505563	10.0081080298	Inverse Simpson	Sample5	1	AS	2014	1	3	1	1	3.1	1.1	1.3.1	1.3.1.3	2014.1.3.1.3	Crown	1	B.1.3	AS.14.CR8.3.1.3	5	1	1	E	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5476913943	NA	NA	NA	NA	0.0822077013	NA	NA	NA	NA	NA	NA	0.0343106202	NA	NA
Sample6	44.6619518363	6.4922106372	Inverse Simpson	Sample6	1	AS	2014	1	1	4	4	1.4	1.4	1.1.4	1.1.4.3	2014.1.1.4.3	Crown	1	C4.3	AS.14.CR8.1.4.3	6	1	1	F	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5630505628	NA	NA	NA	NA	0.2510941118	NA	NA	NA	NA	NA	NA	0.0972899801	NA	NA
Sample7	77.8045858904	9.1766100647	Inverse Simpson	Sample7	1	OSU	2014	3	1	5	5	1.5	3.5	3.1.5	3.1.5.2	2014.3.1.5.2	Crown	1	2.5.2	OSU.14.CR8.1.5.2	7	1	1	G	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6915030271	NA	NA	NA	NA	0.2426457059	NA	NA	NA	NA	NA	NA	0.0943473234	NA	NA
Sample8	24.6308226458	3.8314625645	Inverse Simpson	Sample8	1	OSU	2014	3	2	3	3	2.3	3.3	3.2.3	3.2.3.2	2014.3.2.3.2	Crown	1	9.3.2	OSU.14.CR8.2.3.2	8	1	1	H	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6404026565	NA	NA	NA	NA	0.3194197249	NA	NA	NA	NA	NA	NA	0.1203829724	NA	NA
Sample9	5.6925579454	0.6355542304	Inverse Simpson	Sample9	1	OSU	2014	3	1	4	4	1.4	3.4	3.1.4	3.1.4.1	2014.3.1.4.1	Crown	1	1.4.1	OSU.14.CR8.1.4.1	9	1	2	A	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.717339866	NA	NA	NA	NA	2.1684457292	NA	NA	NA	NA	NA	NA	0.5008462727	NA	NA
Sample10	43.1024774398	6.5785073517	Inverse Simpson	Sample10	1	OSU	2014	3	2	5	5	2.5	3.5	3.2.5	3.2.5.4	2014.3.2.5.4	Crown	1	12.5.4	OSU.14.CR8.2.5.4	10	1	2	B	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6451270235	NA	NA	NA	NA	1.4052740008	NA	NA	NA	NA	NA	NA	0.3811645569	NA	NA
