"","SampleID","Experiment","Farm","Year","farm_number","section","row","block","section_block","farm_block","year_farm_block","farm_section_block","year_farm_section_block","farm_section_block_treatment","year_farm_section_block_treatment","Sample_type","DNA","DNA_sample_name","DNA_seq_number","DNA_plate_number","DNA_col","DNA_row","Tissue","DNA_control","Treatment","Seed_source","Disinfection","Inoculation","plot_level","soil_moisture_at_planting","plants_at_planting","approx_plants_at_harvest","cob.weight.grams","cob_weight_g_plot_avg","max_cob_weight_plot","is_disease_score","seed_weight_g_plot","seed_weight_g_block","lb_seeds_plot","lb_seeds_block","cob_count_wk12","cob_count","cobs_per_plant","seeds_per_cob_g","Seeds_per_plant","disease","disease_plot_avg","Height","Height_avg","copies_ITS_all","copies_Fus_all","copies_Fverti_all","copies_Fum_all","perc_Fus_ITS","perc_Fvert_Fus","perc_Fum_Fus","log_copies_ITS_all","log_copies_Fus_all","log_copies_Fverti_all","log_copies_Fum_all","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Richness_raref","Richness_raref_sd","Inverse_Simpson_raref","Inverse_Simpson_raref_sd"
"Sample31","Sample31","1","OSU","2014","3","1","5","5","1.5","3.5","2014.3.5","OSU.1.5","2014.OSU.1.5","3.1.5.7","2014.3.1.5.7","Crown","1","OSU.14.CR8.1.5.7","31","1","4","G","Crown","0","7","4","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6038668388,NA,NA,NA,NA,0.103384556,NA,NA,NA,NA,NA,NA,0.0427269009,NA,NA,156,461.25,90.10451278847,474.291662683805,13.6244023254051,4.40895024850394,0.964790303390839,28.4012671594509,116.499422416423,77.7,4.59797935417441,25.2710205250208,5.3941941622501
"Sample283","Sample283","2","PC","2014","","","","","","","","","","","2014","Soil","1","Soil.14.PC.1","283","3","12","C","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,1695.40163934426,120.4109130347,1817.41312107246,28.322131998675,5.09645048756615,0.958850444346714,24.3015989875009,322.976281112775,92.6,5.06523105658228,22.5496782353237,5.96364663855272
"Sample35","Sample35","1","PC","2014","2","1","2","2","1.2","2.2","2014.2.2","PC.1.2","2014.PC.1.2","2.1.2.1","2014.2.1.2.1","Crown","1","PC.14.CR8.1.2.1","35","1","5","C","Crown","0","1","4","0","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6824451811,NA,NA,NA,NA,4.3549476889,NA,NA,NA,NA,NA,NA,0.7287552327,NA,NA,931,1546.81632653061,82.1417460563871,1557.83464265877,22.7969167533308,6.05469758171594,0.995445223349279,219.549733540014,360.686764899828,121.64,4.86488136618671,92.9342128811257,9.09440107394323
"Sample284","Sample284","2","PC","2014","","","","","","","","","","","2014","Soil","1","Soil.14.PC.2","284","3","12","D","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1084,1949.53157894737,100.08629087431,2119.5202952232,29.5899080315746,5.9556229164111,0.992428459957212,132.073527228122,451.918553716285,114.92,5.72374109487948,74.405530166211,10.838389676313
"Sample11","Sample11","1","OSU","2014","3","1","1","1","1.1","3.1","2014.3.1","OSU.1.1","2014.OSU.1.1","3.1.1.4","2014.3.1.1.4","Crown","1","OSU.14.CR8.1.1.4","11","1","2","C","Crown","0","4","3","1","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6599908329,NA,NA,NA,NA,0.7349069645,NA,NA,NA,NA,NA,NA,0.2392761904,NA,NA,309,738.886363636364,91.3491638415333,750.898178626289,18.3391929949297,4.2504357261548,0.940172428446755,16.7147015002945,134.53893118639,72.03,5.3076179290533,16.1050675435756,3.41257574864852
"Sample288","Sample288","2","OSU","2014","","","","","","","","","","","2014","Soil","1","Soil.14.OSU.2","288","3","12","H","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,1316.63333333333,90.4514005912693,1447.07731619695,24.7996135526027,5.62589243765859,0.98910579871699,91.7919518854113,340.427826594066,107.08,5.26025693576873,59.1891560492216,9.42981383140446
"Sample285","Sample285","2","OSU","2013","","","","","","","","","","","2013","Soil","1","Soil.13.OSU.1","285","3","12","E","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,1841.612,70.2560078828304,1985.63097792489,26.5933510771858,6.21780438255587,0.994239817345662,173.605605934544,515.338054852631,122.69,5.03662344806277,84.3542603661335,9.7851074008311
"Sample287","Sample287","2","OSU","2014","","","","","","","","","","","2014","Soil","1","Soil.14.OSU.1","287","3","12","G","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087,1871.28358208955,90.6366087119964,1999.33198579875,28.2696037691656,4.33372932892567,0.826923987551824,5.77780817719862,381.167863180715,80.28,6.37716887249215,5.75765012077375,1.08173203354193
"Sample286","Sample286","2","OSU","2013","","","","","","","","","","","2013","Soil","1","Soil.13.OSU.2","286","3","12","F","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074,1845.63684210526,91.0567364659704,1918.87170627021,26.6606639079105,6.06617137167652,0.993119495293189,145.338175411771,467.570441308862,119.17,4.82848241420039,77.9117428279952,9.42552639941356
"Sample281","Sample281","2","AS","2014","","","","","","","","","","","2014","Soil","1","Soil.14.AS.1","281","3","12","A","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,1303.68613138686,76.9898259851586,1365.2284744677,22.1400948434748,5.08554644336411,0.969284255355436,32.5565930949026,291.465017514014,90.95,6.38080296394164,28.3805793846257,5.36444185101914
