SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	year_farm_block	farm_section_block	year_farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob weight grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample1	1	AS	2014	1	2	1	1	2.1	1.1	2014.1.1	AS.2.1	2014.AS.2.1	1.2.1.1	2014.1.2.1.1	Crown	1	A.1.1	AS.14.CR8.2.1.1	1	1	1	A	Crown	0	1	3	0	0	0																	0.6815257228					17.1509174164							1.2588985808		
Sample2	1	AS	2014	1	2	4	4	2.4	1.4	2014.1.4	AS.2.4	2014.AS.2.4	1.2.4.1	2014.1.2.4.1	Crown	1	A.4.1	AS.14.CR8.2.4.1	2	1	1	B	Crown	0	1	3	0	0	0																	0.5445988975					0.5307121625							0.184893533		
Sample3	1	AS	2014	1	1	1	1	1.1	1.1	2014.1.1	AS.1.1	2014.AS.1.1	1.1.1.2	2014.1.1.1.2	Crown	1	C.1.2	AS.14.CR8.1.1.2	3	1	1	C	Crown	0	2	3	1	0	0																	0.528999622					2.2454756815							0.5112783593		
Sample4	1	AS	2014	1	2	4	4	2.4	1.4	2014.1.4	AS.2.4	2014.AS.2.4	1.2.4.2	2014.1.2.4.2	Crown	1	A.4.2	AS.14.CR8.2.4.2	4	1	1	D	Crown	0	2	3	1	0	0																	0.5858369759					0.3023475882							0.1147269101		
Sample5	1	AS	2014	1	3	1	1	3.1	1.1	2014.1.1	AS.3.1	2014.AS.3.1	1.3.1.3	2014.1.3.1.3	Crown	1	B.1.3	AS.14.CR8.3.1.3	5	1	1	E	Crown	0	3	3	0	1	0																	0.5476913943					0.0822077013							0.0343106202		
Sample6	1	AS	2014	1	1	4	4	1.4	1.4	2014.1.4	AS.1.4	2014.AS.1.4	1.1.4.3	2014.1.1.4.3	Crown	1	C4.3	AS.14.CR8.1.4.3	6	1	1	F	Crown	0	3	3	0	1	0																	0.5630505628					0.2510941118							0.0972899801		
Sample7	1	OSU	2014	3	1	5	5	1.5	3.5	2014.3.5	OSU.1.5	2014.OSU.1.5	3.1.5.2	2014.3.1.5.2	Crown	1	2.5.2	OSU.14.CR8.1.5.2	7	1	1	G	Crown	0	2	3	1	0	0																	0.6915030271					0.2426457059							0.0943473234		
Sample8	1	OSU	2014	3	2	3	3	2.3	3.3	2014.3.3	OSU.2.3	2014.OSU.2.3	3.2.3.2	2014.3.2.3.2	Crown	1	9.3.2	OSU.14.CR8.2.3.2	8	1	1	H	Crown	0	2	3	1	0	0																	0.6404026565					0.3194197249							0.1203829724		
Sample9	1	OSU	2014	3	1	4	4	1.4	3.4	2014.3.4	OSU.1.4	2014.OSU.1.4	3.1.4.1	2014.3.1.4.1	Crown	1	1.4.1	OSU.14.CR8.1.4.1	9	1	2	A	Crown	0	1	3	0	0	0																	0.717339866					2.1684457292							0.5008462727		
Sample10	1	OSU	2014	3	2	5	5	2.5	3.5	2014.3.5	OSU.2.5	2014.OSU.2.5	3.2.5.4	2014.3.2.5.4	Crown	1	12.5.4	OSU.14.CR8.2.5.4	10	1	2	B	Crown	0	4	3	1	1	0																	0.6451270235					1.4052740008							0.3811645569		
Sample11	1	OSU	2014	3	1	1	1	1.1	3.1	2014.3.1	OSU.1.1	2014.OSU.1.1	3.1.1.4	2014.3.1.1.4	Crown	1	6.1.4	OSU.14.CR8.1.1.4	11	1	2	C	Crown	0	4	3	1	1	0																	0.6599908329					0.7349069645							0.2392761904		
Sample12	1	OSU	2014	3	2	3	3	2.3	3.3	2014.3.3	OSU.2.3	2014.OSU.2.3	3.2.3.3	2014.3.2.3.3	Crown	1	15.3.3	OSU.14.CR8.2.3.3	12	1	2	D	Crown	0	3	3	0	1	0																	0.7292599585					1.2325777087							0.3488065842		
Sample13	1	OSU	2014	3	2	1	1	2.1	3.1	2014.3.1	OSU.2.1	2014.OSU.2.1	3.2.1.6	2014.3.2.1.6	Crown	1	11.1.6	OSU.14.CR8.2.1.6	13	1	2	E	Crown	0	6	4	1	0	0																	0.7878527722					1.3088587301							0.363397361		
Sample14	1	OSU	2014	3	2	3	3	2.3	3.3	2014.3.3	OSU.2.3	2014.OSU.2.3	3.2.3.6	2014.3.2.3.6	Crown	1	13.3.6	OSU.14.CR8.2.3.6	14	1	2	F	Crown	0	6	4	1	0	0																	0.6312282152					3.6981019522							0.6719224371		
Sample15	1	OSU	2014	3	2	2	2	2.2	3.2	2014.3.2	OSU.2.2	2014.OSU.2.2	3.2.2.5	2014.3.2.2.5	Crown	1	14.2.5	OSU.14.CR8.2.2.5	15	1	2	G	Crown	0	5	3	0	0	0																	0.7321612385					1.6529960156							0.4237365977		
Sample16	1	PC	2014	2	2	1	1	2.1	2.1	2014.2.1	PC.2.1	2014.PC.2.1	2.2.1.1	2014.2.2.1.1	Crown	1	F.1.1	PC.14.CR8.2.1.1	16	1	2	H	Crown	0	1	4	0	0	0																	0.5979145437					1.7281701123							0.4358714468		
Sample17	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.2	2014.2.1.1.2	Crown	1	D.1.2	PC.14.CR8.1.1.2	17	1	3	A	Crown	0	2	4	1	0	0																	0.7004601205					0.7027834695							0.2311594254		
Sample18	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.3	2014.2.1.1.3	Crown	1	D.1.3	PC.14.CR8.1.1.3	18	1	3	B	Crown	0	3	4	0	1	0																	0.5974097601					0.5019309496							0.1766499667		
Sample19	1	AS	2014	1	2	1	1	2.1	1.1	2014.1.1	AS.2.1	2014.AS.2.1	1.2.1.4	2014.1.2.1.4	Crown	1	A.1.4	AS.14.CR8.2.1.4	19	1	3	C	Crown	0	4	3	1	1	0																	0.4765382084					0.0793577136							0.0331653995		
Sample20	1	AS	2014	1	3	2	2	3.2	1.2	2014.1.2	AS.3.2	2014.AS.3.2	1.3.2.1	2014.1.3.2.1	Crown	1	B.2.1	AS.14.CR8.3.2.1	20	1	3	D	Crown	0	1	3	0	0	0																	0.5971108382														
