"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.1297182612446","1.30046419544737e-06","5.38528226815337e-10","0.000886694607646798",0.316935544682998,"",0.170132411820712,"0.503305151788132","0.453302777706487","0.434841709118987","0.437466596855272","","","0.451097492026144","0.612713093198922","","0.975577875863064","",""
"F.seeds","","0.0106673810945684","0.00450699764119708","0.0206878720240685",0.207509590580885,"",0.571412090664294,"","","","","","","0.296931182911295","0.733955606819726","","0.954753963627449","",""
"F.crowns","","4.076344250461e-05","1.97630135998856e-07","0.0288990309393207",0.884927694059252,"",0.278042961574352,"","","","","","","0.928068536959217","0.283148944137385","","0.822205665887081","",""
"F13.full","0.95975305947341","","","0.04474392662223",0.982564705546294,"",0.515041491938012,"","","0.236636108681909","0.874895083578247","","","","","","0.874905619979903","",""
"F13.seeds","","","","0.0124907041615228",0.793669935414702,"",0.241215195474309,"","","","","","","","","","0.80127976125426","",""
"F13.crowns","","","","0.620144720097681",0.804045784710705,"",0.244778424933132,"","","","","","","","","","0.935168447439225","",""
"F13.14.osu.full","0.843840607733492","0.0493791015159696","","0.000222670388841207",0.506362579311755,"",0.129371050920506,"0.890758343896465","","0.351202210384652","0.76615506132925","","","0.572729678294051","","","0.967345390863283","",""
"F13.14.osu.seeds","","0.168000975979747","","0.00815175862095291",0.832047552515768,"",0.425758933078422,"","","","","","","0.619369129875573","","","0.938520891252117","",""
"F13.14.osu.crowns","","0.163027360837881","","0.0153427400579085",0.449148007422321,"",0.0949832323750955,"","","","","","","0.534804534401914","","","0.783432926955319","",""
"F14.full","0.114372761920077","","1.96036443048425e-09","",0.333218800460986,"0.293718339545535",0.0945491641184838,"","0.502139183412067","","0.30022892464425","0.0433139647847867","","","0.594552738992925","0.104311461383268","","","0.107718313908049"
"F14.seeds","","","0.00674166178401355","",0.1775498554496,"0.609613387834326",0.404504313954817,"","","","","","","","0.593942783853077","0.104465845484411","","","0.171137007891728"
"F14.crowns","","","1.18822099206832e-06","",0.99081545057359,"0.0466323176668277",0.390226934070205,"","","","","","","","0.339666696754617","0.168013001434819","","","0.323584115558987"
"F14.osu.full","0.724033901720034","","","0.000133326909832993",0.311942274496071,"0.0171037482714591",0.0251483566270197,"","","0.422067038475335","0.937965433416485","0.864526946261736","","","","","0.859249147022735","0.994031985628811","0.22171123992077"
"F14.osu.seeds","","","","0.0789693054955302",0.66886852938888,"0.195016247883676",0.736599749872025,"","","","","","","","","","0.715499213912499","0.912789682307563","0.516771007353826"
"F14.osu.crowns","","","","0.000729609603803029",0.313285570722524,"0.0550167826875927",0.0204586771864848,"","","","","","","","","","0.250552303176053","0.776529536070785","0.580224052011758"
"F14.as.full","0.139126911615882","","","",0.21483082915168,"0.165511722134498",0.593700570231554,"","","","0.543569271540048","0.0592893827137391","","","","","","","0.69901827083672"
"F14.as.seeds","","","","",0.161966346658267,"0.759253638564482",0.392456894436224,"","","","","","","","","","","","0.791980574387361"
"F14.as.crowns","","","","",0.825861381411925,"0.0776893165346269",0.674642991642702,"","","","","","","","","","","","0.995537711194956"
"F14.pc.full","0.212781063580362","","","",0.998897308428265,"0.124292740227104",0.297242096250141,"","","","0.162599128068769","0.0636612886816554","","","","","","","0.0970814562666127"
"F14.pc.seeds","","","","",0.35872935801633,"0.0707920053917763",0.488002072104053,"","","","","","","","","","","","0.0789751967994964"
"F14.pc.crowns","","","","",0.383182810098905,"0.867289152231399",0.471841897114916,"","","","","","","","","","","","0.826908159886032"
