"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation","Residuals","Total","Percent_Explained"
"F.full","0.0612732273950888","0.112165999675711","0.0242173370018726","0.00061685793251251",0.0194351784806531,"",0.478478654905668,"0.0236121699012022","0.0418123511996497","0.00414920248226895","0.00967875152288288","","","0.00117190459700165","0.044154529289811","","0.00290615956976251","","",1.05841171041412,"",""
"F.seeds","","0.017351802877139","0.0507483445074156","0.00342117288189421",0.0226252261495203,"",0.230863238459705,"","","","","","","0.000289198968395753","0.0237473518510003","","0.00228354669833006","","",0.537968928738839,"",""
"F.crowns","","0.115336500877655","0.000421733458834578","0.000641130022184745",0.00218972649682044,"",0.360031350513123,"","","","","","","0.00140935664980028","0.0367188843955828","","0.00534617785810193","","",0.409417135568775,"",""
"F13.full","2.32526334073883e-06","","","7.64783100916229e-05",0.00264248504204096,"",0.033177487630139,"","","0.00151323250272698","0.00391019796316674","","","","","","0.00157270114015634","","",0.27019920499123,"",""
"F13.seeds","","","","0.00084055774761343",0.00588122611979442,"",0.0127650503910645,"","","","","","","","","","0.00114558970410298","","",0.154096467844871,"",""
"F13.crowns","","","","0.000260624972669063",3.90559361019355e-06,"",0.0394371130214121,"","","","","","","","","","0.00534611743560388","","",0.0933151347488102,"",""
"F13.14.osu.full","0.0113620685740027","0.109087918159937","","0.000541336666698946",0.00361505500523065,"",0.0676162114365203,"0.00766252768836604","","0.00413906670654662","0.00783780166197542","","","0.000599431827962004","","","0.00290371859831138","","",0.458839973921356,"",""
"F13.14.osu.seeds","","0.0284637474892526","","0.00342117288189421",0.0105238172534743,"",0.0608336863536358,"","","","","","","0.000305457781062569","","","0.00228354669833006","","",0.228608865910017,"",""
"F13.14.osu.crowns","","0.0883012853054991","","0.000641130022184752",0.000239984407049375,"",0.0610644621387111,"","","","","","","0.00013730166998709","","","0.00534617785810191","","",0.172672405903704,"",""
"F14.full","0.0817441183496621","","0.0256017280780539","",0.0170280068169095,"0.00781751132816895",0.440639044596958,"","0.0429648401949319","","0.0057072553473958","0.00976565377855198","","","0.0438164787861006","0.0133944744183521","","","0.000704622024963546",0.767591100268384,"",""
"F14.seeds","","","0.0507483445074157","",0.0167449598542431,"0.00448961273461483",0.213841239893283,"","","","","","","","0.0237654355083268","0.0312506497424023","","","0.00181972396009094",0.354558150247277,"",""
"F14.crowns","","","0.00042173345883458","",0.00302008900108811,"0.0363988411752224",0.293626694156097,"","","","","","","","0.0331969245370044","0.010376925677516","","","0.0145683357294904",0.286203055455863,"",""
"F14.osu.full","0.0192747132027881","","","0.000473324350327086",0.00122548904386804,"0.00907043349057195",0.0281096875856505,"","","0.0021914350812541","0.00390897891479339","0.0341931413439927","","","","","0.00249499810331975","0.00209357905061084","1.34304425879605e-05",0.149211723891625,"",""
"F14.osu.seeds","","","","0.00258061513428071",0.00486006386588307,"0.0383256556319754",0.0292854504669935,"","","","","","","","","","0.00389319643574366","0.00523395037951676","0.00592678338061143",0.0411419397759632,"",""
"F14.osu.crowns","","","","0.000380505049515672",0.000343110936804332,"0.00378020265985274",0.0258547925188869,"","","","","","","","","","4.14952217933167e-06","0.000203742430175002","0.00568449510425295",0.065487568005966,"",""
"F14.as.full","0.0842965406219926","","","",0.0469849195276526,"0.0392507476645388",0.33414207708109,"","","","0.000993639269383575","0.00758405632332315","","","","","","","0.0209538718534748",0.53889846944333,"",""
"F14.as.seeds","","","","",0.0357233947311119,"0.0118032295799217",0.168932788768053,"","","","","","","","","","","","0.00698556830245435",0.278767514256469,"",""
"F14.as.crowns","","","","",0.0148259162876284,"0.0284361616550576",0.223200669134886,"","","","","","","","","","","","0.0345727275466016",0.185559810900609,"",""
"F14.pc.full","0.0089437193653872","","","",0.000335805470130083,"0.0125786536197728",0.0647159428929168,"","","","0.00135028007796122","0.000434245748635243","","","","","","","0.00598484919309895",0.0166668582086114,"",""
"F14.pc.seeds","","","","",0.000829002740310155,"0.00117018164620841",0.000376867800973829,"","","","","","","","","","","","0.00288388378048607",0.00774968526328149,"",""
"F14.pc.crowns","","","","",1.56446470605918e-05,"0.0159222276041302",0.064845543725499,"","","","","","","","","","","","0.00288906966859046",0.00538452833458638,"",""
