"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2779",3.62964623798143,-4.11116323661532,1.26014271811256,-3.26245843230601,0.00110450369673951,0.0438119799706673,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"26",44.4300563374744,5.70504674690894,1.16884876014769,4.88091097961046,1.05596904144545e-06,8.37735439546722e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"6421",3.38191777850428,4.31575594739239,1.27191189357248,3.39312492414118,0.000691001173902341,0.030835927385392,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"67",15.0221973135917,3.70916985262716,1.08756879817167,3.41051514061705,0.000648402839603524,0.030835927385392,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"0",60.5093367357153,-4.94381208451247,0.932906630221281,-5.29936429258716,1.16206570834294e-07,1.1853070225098e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"8778",6.29715839651875,4.07013384101061,1.15166344321193,3.53413478998625,0.000409112385278553,0.0224697110068375,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"New.ReferenceOTU414",6.04704104789296,3.99023080158303,1.08445994734312,3.67946350748952,0.00023372513025614,0.0151708857275349,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"10016",14.6579194462607,5.54821242817824,1.13471168415034,4.88953494149723,1.01074481310933e-06,8.37735439546722e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"3",80.6192716808335,5.79287644718137,1.04555318118059,5.54048952406258,3.01627283964726e-08,5.73307184212686e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"9028",421.329389378255,6.17774382232157,0.922981169636368,6.69325011771958,2.18267597821727e-11,1.55843064844713e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"4775",7.69995200130771,4.81309779367876,1.18848261714623,4.04978392131296,5.1264946375976e-05,0.00366031717124469,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"New.ReferenceOTU387",26.9187478984061,6.1174284949554,1.12540735774977,5.43574595707911,5.45676553418656e-08,6.493550985682e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"15",38.8921827976437,-5.35380929020167,0.871739213925361,-6.1415262783625,8.17323007174727e-10,2.91784313561378e-07,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"10078",1.7588018931662,-3.77952073121651,1.09783894415066,-3.44269143607445,0.000575956061406308,0.0293737591317217,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"New.ReferenceOTU420",2.15163523460414,-3.22230809836475,0.984651055676672,-3.27253810351152,0.00106586504685148,0.0438119799706673,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"10069",17.275914811197,-5.12231856675861,0.932304929832278,-5.49425236620825,3.92369065418879e-08,5.73307184212686e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"7495",6.01121726681821,-5.19886757702792,0.946935671529775,-5.49020142902543,4.01475619196559e-08,5.73307184212686e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"3564",13.1556378530519,4.14689561396231,1.15264574323445,3.59771910693537,0.000321020035301226,0.019100692100423,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium",NA
