"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.065",0.604,"",0.022,"0.001","0.001","0.065","0.402","","","0.671","0.984","","0.294","",""
"F.seeds","","0.001","0.001","0.047",0.371,"",0.386,"","","","","","","0.27","0.868","","0.033","",""
"F.crowns","","0.001","0.415","0.259",0.754,"",0.393,"","","","","","","0.828","0.181","","0.129","",""
"F13.full","0.124","","","0.245",0.914,"",0.03,"","","0.109","0.68","","","","","","0.659","",""
"F13.seeds","","","","0.112",0.557,"",0.306,"","","","","","","","","","0.182","",""
"F13.crowns","","","","0.436",0.657,"",0.433,"","","","","","","","","","0.553","",""
"F13.14.osu.full","0.001","0.001","","0.145",0.82,"",0.479,"0.001","","0.189","0.674","","","0.806","","","0.511","",""
"F13.14.osu.seeds","","0.001","","0.138",0.313,"",0.883,"","","","","","","0.23","","","0.115","",""
"F13.14.osu.crowns","","0.001","","0.399",0.991,"",0.563,"","","","","","","0.921","","","0.219","",""
"F14.full","0.001","","0.001","",0.561,"0.068",0.088,"","0.001","","0.3","0.191","","","0.949","0.4","","","0.801"
"F14.seeds","","","0.001","",0.504,"0.046",0.43,"","","","","","","","0.671","0.091","","","0.578"
"F14.crowns","","","0.52","",0.503,"0.842",0.755,"","","","","","","","0.288","0.917","","","0.993"
"F14.osu.full","0.001","","","0.201",0.813,"0.121",0.901,"","","0.467","0.495","0.173","","","","","0.408","0.993","0.794"
"F14.osu.seeds","","","","0.275",0.42,"0.072",0.932,"","","","","","","","","","0.237","0.895","0.412"
"F14.osu.crowns","","","","0.614",0.999,"0.649",0.93,"","","","","","","","","","0.255","0.909","0.942"
"F14.as.full","0.001","","","",0.274,"0.071",0.016,"","","","0.197","0.026","","","","","","","0.807"
"F14.as.seeds","","","","",0.894,"0.02",0.104,"","","","","","","","","","","","0.59"
"F14.as.crowns","","","","",1,"1",1,"","","","","","","","","","","","1"
"F14.pc.full","0.001","","","",0.512,"0.385",0.125,"","","","0.036","0.32","","","","","","","0.878"
"F14.pc.seeds","","","","",0.134,"0.119",0.081,"","","","","","","","","","","","0.667"
"F14.pc.crowns","","","","",0.097,"0.949",0.627,"","","","","","","","","","","","0.837"
