"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.042",0.636,"",0.036,"0.001","0.001","0.089","0.45","","","0.677","0.985","","0.263","",""
"F.seeds","","0.001","0.001","0.049",0.357,"",0.393,"","","","","","","0.271","0.851","","0.028","",""
"F.crowns","","0.001","0.458","0.236",0.753,"",0.378,"","","","","","","0.825","0.169","","0.124","",""
"F13.full","0.14","","","0.214",0.899,"",0.035,"","","0.102","0.698","","","","","","0.672","",""
"F13.seeds","","","","0.118",0.529,"",0.3,"","","","","","","","","","0.181","",""
"F13.crowns","","","","0.395",0.658,"",0.396,"","","","","","","","","","0.528","",""
"F13.14.osu.full","0.001","0.001","","0.134",0.842,"",0.482,"0.001","","0.191","0.695","","","0.792","","","0.502","",""
"F13.14.osu.seeds","","0.001","","0.146",0.335,"",0.866,"","","","","","","0.224","","","0.098","",""
"F13.14.osu.crowns","","0.001","","0.382",0.992,"",0.591,"","","","","","","0.929","","","0.189","",""
"F14.full","0.001","","0.001","",0.579,"0.055",0.074,"","0.001","","0.294","0.184","","","0.951","0.388","","","0.802"
"F14.seeds","","","0.001","",0.529,"0.029",0.394,"","","","","","","","0.663","0.093","","","0.565"
"F14.crowns","","","0.53","",0.554,"0.855",0.75,"","","","","","","","0.297","0.91","","","0.992"
"F14.osu.full","0.001","","","0.198",0.817,"0.096",0.92,"","","0.436","0.515","0.181","","","","","0.424","0.991","0.777"
"F14.osu.seeds","","","","0.271",0.441,"0.07",0.943,"","","","","","","","","","0.223","0.914","0.431"
"F14.osu.crowns","","","","0.591",0.999,"0.638",0.923,"","","","","","","","","","0.257","0.885","0.927"
"F14.as.full","0.001","","","",0.252,"0.087",0.021,"","","","0.164","0.023","","","","","","","0.79"
"F14.as.seeds","","","","",0.9,"0.013",0.111,"","","","","","","","","","","","0.553"
"F14.as.crowns","","","","",1,"1",1,"","","","","","","","","","","","1"
"F14.pc.full","0.001","","","",0.51,"0.341",0.126,"","","","0.043","0.374","","","","","","","0.893"
"F14.pc.seeds","","","","",0.136,"0.108",0.075,"","","","","","","","","","","","0.66"
"F14.pc.crowns","","","","",0.114,"0.936",0.605,"","","","","","","","","","","","0.837"
