"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","1.78548545656815e-27","1.22137045101678e-08","0.0192128821250624","0.52085823818929",0.861037237907795,"",0.0342517905056688,"0.0410897482043438","0.012376685743581","0.732728502376194","0.485901227257869","","","0.845861333000998","0.614944426418946","","0.0354410652147098","",""
"F.seeds","","4.84110383656622e-07","0.261563782126468","0.063620242670094",0.0948789316360742,"",0.726240969024085,"","","","","","","0.198451635891749","0.200174395115609","","0.0292198051654643","",""
"F.crowns","","0.000158890138636604","0.00540263922571519","0.937533019711619",0.607944017561507,"",0.330893970231193,"","","","","","","0.770055229275866","0.200359634780637","","0.21876969087095","",""
"F13.full","6.63604143535838e-07","","","0.627298486149973",0.714733084922574,"",0.46989049339792,"","","0.584907819693024","0.499494706518486","","","","","","0.13394867553813","",""
"F13.seeds","","","","0.136061242059958",0.156878233930987,"",0.853089151273018,"","","","","","","","","","0.0392904026504566","",""
"F13.crowns","","","","0.966096477136196",0.881059783176457,"",0.422451833471152,"","","","","","","","","","0.55043973681731","",""
"F13.14.osu.full","1.30559314269528e-14","4.85801591669608e-08","","0.585465378252104",0.535173826246691,"",0.66946371665444,"0.0193929360811748","","0.770417909990553","0.216036377577633","","","0.971100498657267","","","0.0634451750579466","",""
"F13.14.osu.seeds","","7.9549424190698e-05","","0.111238603663727",0.0233060418342381,"",0.726596007565183,"","","","","","","0.695411159530964","","","0.0606311226942997","",""
"F13.14.osu.crowns","","6.66801199480458e-05","","0.94532091387728",0.715743015273421,"",0.527162388568218,"","","","","","","0.927589835483359","","","0.267797132248067","",""
"F14.full","4.82230920409895e-23","","0.0042100945159127","",0.891065045540075,"0.893100014298023",0.00206174764276613,"","0.00353153422102406","","0.746330955158759","0.517950643398886","","","0.504973618326122","0.376065829227027","","","0.635485418313254"
"F14.seeds","","","0.197675754656149","",0.311956003595392,"0.96079100337203",0.316113333505511,"","","","","","","","0.15465081440158","0.0617989246370822","","","0.5851249608287"
"F14.crowns","","","0.00121774102901066","",0.567478747234603,"0.856523290010982",0.1826872311977,"","","","","","","","0.0929217599639126","0.799917297190384","","","0.915258289864635"
"F14.osu.full","4.53008217923171e-09","","","0.292138852783987",0.604475022277712,"0.767126779966606",0.69821974673139,"","","0.795373829865789","0.256512643891748","0.347862848793296","","","","","0.0723952433790555","0.128671560985918","0.597641728799896"
"F14.osu.seeds","","","","0.169080845392015",0.077395185876051,"0.21057536501847",0.39600472882784,"","","","","","","","","","0.537684351121071","0.423189996447268","0.653243978684883"
"F14.osu.crowns","","","","0.607836626795553",0.627898047666349,"0.710391148430806",0.31951797981201,"","","","","","","","","","0.0334603217122184","0.0251288868535653","0.307234387612252"
"F14.as.full","1.92828741906431e-09","","","",0.113111736878909,"0.659250952427218",0.00394397576580077,"","","","0.231274549319036","0.644603125573168","","","","","","","0.557728407301799"
"F14.as.seeds","","","","",0.594802749208128,"0.216720617809377",0.888709035812769,"","","","","","","","","","","","0.891394188769045"
"F14.as.crowns","","","","",0.142517134439057,"0.449717168929449",0.204874325525635,"","","","","","","","","","","","0.328850241691412"
"F14.pc.full","5.35870806069375e-06","","","",0.419445354457969,"0.472307233752479",0.16350913865958,"","","","0.0136729466281159","0.987236766179922","","","","","","","0.246878436253432"
"F14.pc.seeds","","","","",0.204710848326263,"0.235020670421025",0.592280875935053,"","","","","","","","","","","","0.227215401684306"
"F14.pc.crowns","","","","",0.22913300483577,"0.923783772093529",0.572486794374908,"","","","","","","","","","","","0.912560478771099"
