"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.978",0.649,"",0.096,"0.001","0.001","0.964","0.394","","","0.997","0.404","","0.142","",""
"F.seeds","","0.001","0.001","0.998",0.676,"",0.636,"","","","","","","0.954","0.467","","0.032","",""
"F.crowns","","0.001","0.001","0.821",0.307,"",0.723,"","","","","","","0.994","0.425","","0.866","",""
"F13.full","0.001","","","0.72",0.795,"",0.786,"","","0.662","0.698","","","","","","0.198","",""
"F13.seeds","","","","0.948",0.859,"",0.964,"","","","","","","","","","0.069","",""
"F13.crowns","","","","0.504",0.704,"",0.553,"","","","","","","","","","0.68","",""
"F13.14.osu.full","0.001","0.001","","0.978",0.724,"",0.983,"0.001","","0.954","0.743","","","0.952","","","0.201","",""
"F13.14.osu.seeds","","0.001","","0.999",0.661,"",0.999,"","","","","","","0.849","","","0.104","",""
"F13.14.osu.crowns","","0.001","","0.713",0.806,"",0.728,"","","","","","","0.916","","","0.79","",""
"F14.full","0.001","","0.001","",0.535,"0.033",0.046,"","0.001","","0.238","0.014","","","0.551","0.006","","","0.754"
"F14.seeds","","","0.001","",0.462,"0.002",0.054,"","","","","","","","0.4","0.001","","","0.738"
"F14.crowns","","","0.001","",0.446,"0.792",0.998,"","","","","","","","0.901","0.772","","","0.601"
"F14.osu.full","0.001","","","0.796",0.645,"0.003",0.875,"","","0.705","0.63","0.001","","","","","0.133","0.683","0.507"
"F14.osu.seeds","","","","0.849",0.319,"0.001",0.817,"","","","","","","","","","0.385","0.432","0.241"
"F14.osu.crowns","","","","0.827",0.977,"0.664",0.977,"","","","","","","","","","0.598","0.784","0.553"
"F14.as.full","0.001","","","",0.482,"0.435",0.235,"","","","0.286","0.376","","","","","","","0.355"
"F14.as.seeds","","","","",0.728,"0.168",0.13,"","","","","","","","","","","","0.859"
"F14.as.crowns","","","","",0.216,"0.901",0.594,"","","","","","","","","","","","0.059"
"F14.pc.full","0.001","","","",0.271,"0.257",0.055,"","","","0.203","0.347","","","","","","","0.382"
"F14.pc.seeds","","","","",0.17,"0.296",0.014,"","","","","","","","","","","","0.733"
"F14.pc.crowns","","","","",0.376,"0.19",0.077,"","","","","","","","","","","","0.447"
