"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","4.85409228029436e-21","2.60768783266058e-06","0.682472782680218","0.82675473561608",0.536907766503259,"",0.0316831608030147,"0.000527175130681795","0.0112854084415957","0.775432463500167","0.150715838870429","","","0.931179387744285","0.0675498651501686","","0.681685729756604","",""
"F.seeds","","0.316130444259247","0.161750620515538","0.473055225818104",0.10519376785241,"",0.385861824123762,"","","","","","","0.37884595203813","0.356501681315742","","0.946988498312279","",""
"F.crowns","","2.49116299681372e-05","0.193497933720323","0.991547086386621",0.770716460107878,"",0.551931423313339,"","","","","","","0.680203987125337","0.157259617106957","","0.561766816301708","",""
"F13.full","0.0181341925392797","","","0.830812948921506",0.745192666975968,"",0.271843560078134,"","","0.609765938153194","0.987968973898146","","","","","","0.410255668952094","",""
"F13.seeds","","","","0.597168441646001",0.815941933316052,"",0.882289736253326,"","","","","","","","","","0.82396027048438","",""
"F13.crowns","","","","0.887708508652421",0.822419679599168,"",0.353622189098908,"","","","","","","","","","0.319334734217017","",""
"F13.14.osu.full","1.05176835026533e-09","6.90643487584268e-05","","0.832400235318216",0.50447221610888,"",0.29981390672554,"0.0268137016404162","","0.752839339980343","0.417983690317575","","","0.471089941532765","","","0.660913405469944","",""
"F13.14.osu.seeds","","0.10394358149653","","0.465093528953196",0.196352613965436,"",0.676609889968936,"","","","","","","0.233145122315307","","","0.945323476117149","",""
"F13.14.osu.crowns","","0.000738539568816803","","0.989540520137734",0.963170703768489,"",0.555721707243547,"","","","","","","0.97497501067117","","","0.492415434654702","",""
"F14.full","1.11963069849246e-19","","0.681709229771332","",0.619496026715153,"0.777925542329286",0.0491564551900531,"","0.0137525026634334","","0.0997746274235189","0.383157394503995","","","0.0645036336387261","0.689713360609272","","","0.832135982052426"
"F14.seeds","","","0.116193472550356","",0.062897844080076,"0.133406115948161",0.147802735444248,"","","","","","","","0.292489505397986","0.228949034266265","","","0.345630668629629"
"F14.crowns","","","0.225369128083858","",0.661899143384828,"0.294280133473336",0.693120986162064,"","","","","","","","0.189692095002838","0.518307629235008","","","0.341793093031495"
"F14.osu.full","9.08863044577222e-09","","","0.558887203450152",0.556627994545167,"0.197788355543926",0.450198186838959,"","","0.64785166427178","0.289895002460569","0.0913430495870068","","","","","0.979976808146695","0.786955472359837","0.534270565304356"
"F14.osu.seeds","","","","0.184154857236949",0.0729754541675804,"0.00404756609010301",0.429476818703883,"","","","","","","","","","0.497311793771533","0.823446691826733","0.521366759196745"
"F14.osu.crowns","","","","0.989189869274268",0.813552603743819,"0.869173672698271",0.727972278183866,"","","","","","","","","","0.573429451256347","0.910093118783983","0.364404989489243"
"F14.as.full","4.96547712376668e-05","","","",0.469101345792473,"0.432275717699864",0.431836784894055,"","","","0.768366841266353","0.503259636415546","","","","","","","0.552699634858687"
"F14.as.seeds","","","","",0.30722726924777,"0.707659097434684",0.216148358927675,"","","","","","","","","","","","0.983252129835351"
"F14.as.crowns","","","","",0.863282575517482,"0.63224087890696",0.918836202734215,"","","","","","","","","","","","0.498451153419854"
"F14.pc.full","3.07421587176905e-08","","","",0.146441810384976,"0.101398346691636",0.0153576108297513,"","","","0.0162821975012504","0.536450736929487","","","","","","","0.0675142809262458"
"F14.pc.seeds","","","","",0.867469189853092,"0.709947668483002",0.873085336411947,"","","","","","","","","","","","0.155226260371217"
"F14.pc.crowns","","","","",0.179634814251277,"0.134758857073466",0.153524890111959,"","","","","","","","","","","","0.263805074193237"
