"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.00812010404174574","0.000398085182290255","0.243184038974942","0.964239752090746",0.132288803860645,"",0.0143952794175545,"0.097437574830453","0.0887858189088966","0.783068974989613","0.287063773016864","","","0.710503092861101","0.0777358982418051","","0.842504971695081","",""
"F.seeds","","0.192487458011142","0.0876922461808835","0.842686059296983",0.13763753766019,"",0.324140157023621,"","","","","","","0.865348666618993","0.311519258832095","","0.891931584088502","",""
"F.crowns","","0.000776705262353914","0.976598458901158","0.964651037808856",0.622248766996496,"",0.229945489590668,"","","","","","","0.692522812977685","0.138698166207791","","0.74201151458824","",""
"F13.full","0.986656176608","","","0.923592064359198",0.573815757332589,"",0.550708313450654,"","","0.670062477700147","0.49436218081623","","","","","","0.664048974659521","",""
"F13.seeds","","","","0.794190741315919",0.493619880285423,"",0.949732857498452,"","","","","","","","","","0.760821956849036","",""
"F13.crowns","","","","0.846090329580096",0.981029559396279,"",0.365866553802675,"","","","","","","","","","0.385613925625906","",""
"F13.14.osu.full","0.155434330743727","2.72748058699267e-05","","0.952245315387188",0.421022732325149,"",0.589225164848449,"0.242432904538191","","0.688884643279468","0.23716219126846","","","0.742766138221232","","","0.769664407009151","",""
"F13.14.osu.seeds","","0.0544960401897026","","0.788463702295628",0.233740691672373,"",0.838155754156417,"","","","","","","0.837493476619406","","","0.852971497871476","",""
"F13.14.osu.crowns","","0.000198533295058012","","0.938939860599112",0.829211519939361,"",0.605881960195719,"","","","","","","0.87037079681681","","","0.595496448382614","",""
"F14.full","0.00276486442443807","","0.23223424311528","",0.163467947053115,"0.343645056296137",0.0137135652570157,"","0.088601021232609","","0.418117312885136","0.290163882502073","","","0.0845558673108075","0.463092632952144","","","0.775672371637378"
"F14.seeds","","","0.0736421133609035","",0.182533684485052,"0.486393230968294",0.128804511143768,"","","","","","","","0.282207847450292","0.192596859450595","","","0.657064853852452"
"F14.crowns","","","0.978155204506714","",0.577858348055891,"0.060167193556666",0.362066108348269,"","","","","","","","0.192792759505882","0.586119931654984","","","0.226143136163794"
"F14.osu.full","0.0200536739433029","","","0.707341102590611",0.546284555203456,"0.105100526719343",0.499210119549578,"","","0.420521537585785","0.283364632878851","0.00244136023479198","","","","","0.390302765567853","0.431016148437956","0.949536443515224"
"F14.osu.seeds","","","","0.33135311838574",0.188143072841494,"0.00138385018560952",0.326049551050831,"","","","","","","","","","0.23630557971713","0.172889254402556","0.148476218094818"
"F14.osu.crowns","","","","0.757127917115899",0.768981679817551,"0.335767416478441",0.664514402291792,"","","","","","","","","","0.974200067295741","0.820853561387795","0.241061067088039"
"F14.as.full","0.121338368428035","","","",0.240064218695345,"0.281306637185751",0.582016448469642,"","","","0.861564735959574","0.631002525791884","","","","","","","0.427444804483401"
"F14.as.seeds","","","","",0.310801649520929,"0.552328496356813",0.213996168103356,"","","","","","","","","","","","0.646171548136676"
"F14.as.crowns","","","","",0.602054450849366,"0.477425402053494",0.90129495391542,"","","","","","","","","","","","0.436669463299117"
"F14.pc.full","0.00771258926502269","","","",0.566067896838615,"0.00229735102350225",4.66173752241014e-05,"","","","0.256747298578414","0.514643008914362","","","","","","","0.0243624453626545"
"F14.pc.seeds","","","","",0.352133145108542,"0.273678642025469",0.929736871730759,"","","","","","","","","","","","0.100484172773909"
"F14.pc.crowns","","","","",0.919341393871853,"0.0263128767254087",0.0317677628655425,"","","","","","","","","","","","0.216786495906851"
