"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.00281755302781329","0.000193248868668666","0.000104874107871736","0.892419632697526","0.528005734105235","","0.76396962610696","0.513185460058785","0.0309338648816003","0.983269275472337","0.0444492259493346","","","0.857783470413239","0.38831175081222","","0.587819583106939","",""
"F.seeds","","0.00121072184458603","1.55210771672526e-05","0.977643412215022","0.342257120818901","","0.999177006954398","","","","","","","0.418186539219479","0.328028327709529","","0.624430667295554","",""
"F.crowns","","0.144498939109015","0.946646717741998","0.898148010807822","0.073219212534934","","0.776119271467817","","","","","","","0.257000230824237","0.744681168437115","","0.954679537889937","",""
"F13.full","0.280704442515979","","","0.858796821279954","0.916720488142374","","0.736069872073544","","","0.739376293761573","0.67121960116317","","","","","","0.107758322215682","",""
"F13.seeds","","","","0.910661092944371","0.751792234360061","","0.776563854164101","","","","","","","","","","0.15385548690147","",""
"F13.crowns","","","","0.873339068845082","0.628867045801319","","0.871979137870325","","","","","","","","","","0.995727216618505","",""
"F13.14.osu.full","0.555771754554273","0.013507348870976","","0.818295640461381","0.300516075056058","","0.402751670017005","0.914361456922781","","0.951156961625003","0.318201687020538","","","0.552533616386975","","","0.409522431271135","",""
"F13.14.osu.seeds","","0.086518457202909","","0.948973651436792","0.813065792494233","","0.88974370019638","","","","","","","0.958333123660188","","","0.345091242462328","",""
"F13.14.osu.crowns","","0.165547338503574","","0.902199606675491","0.326463755690386","","0.748153101223138","","","","","","","0.4010964010667","","","0.956465940990218","",""
"F14.full","0.0019223619951239","","0.000240440416447039","","0.511956329851623","0.012534710081525","0.599647202255504","","0.0146453654053457","","0.0189473293922465","0.903174291771469","","","0.428287582363957","0.272947113598697","","","0.61428751359077"
"F14.seeds","","","4.85654350357454e-05","","0.227964331517919","0.0355882010949766","0.982573273951543","","","","","","","","0.330360218822041","0.407117543651","","","0.66883153535089"
"F14.crowns","","","0.95602986392593","","0.0566155916085565","0.179916206365955","0.801498968937253","","","","","","","","0.805411839998832","0.965037367045274","","","0.229312863709492"
"F14.osu.full","0.844508977889048","","","0.596239556276361","0.270269519650515","0.0882983467114949","0.413341576741035","","","0.974497332835278","0.20460859906426","0.364549421975157","","","","","0.853346948114121","0.93551054793795","0.578193505175695"
"F14.osu.seeds","","","","0.747832997021939","0.957675569858958","0.44308169458283","0.62712196033337","","","","","","","","","","0.591115322113623","0.0384038651138119","0.988501213345731"
"F14.osu.crowns","","","","0.726244564164049","0.286994182274156","0.217479970156736","0.81992737118575","","","","","","","","","","0.877019693550928","0.238949017268655","0.514552061137911"
"F14.as.full","0.0152383930528142","","","","0.63303474293698","0.186150288960452","0.872271891130463","","","","0.587470036212008","0.960711716725379","","","","","","","0.679181831411351"
"F14.as.seeds","","","","","0.463951744833278","0.149730051095131","0.842288923258674","","","","","","","","","","","","0.910124438614665"
"F14.as.crowns","","","","","","","","","","","","","","","","","","",""
"F14.pc.full","0.153476768535718","","","","0.867139040212035","0.231293217566896","0.68564779095128","","","","0.0372023362003631","0.725403926546969","","","","","","","0.726606245637656"
"F14.pc.seeds","","","","","0.207321903070763","0.272242444927438","0.853213692128005","","","","","","","","","","","","0.463385357847076"
"F14.pc.crowns","","","","","0.221110191478619","0.811618123474412","0.801169062287338","","","","","","","","","","","","0.868210272344936"
