"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.148989919381004","0.332275013992469","0.330289268963798","0.725287293788296","0.575327351786859","","0.360544538928756","0.0443381243981026","0.411028501925868","0.668306944078454","0.790219824700614","","","0.85443258441344","0.13214624806999","","0.281996506278043","",""
"F.seeds","","0.47703573798819","0.467248462502466","0.896722539384841","0.669936677963916","","0.560652380383763","","","","","","","0.825222709902847","0.509918365699431","","0.190982068063677","",""
"F.crowns","","0.0679177393766999","0.823283751097225","0.827198743005693","0.690221714980087","","0.829050650150536","","","","","","","0.830387162125092","0.468803323768353","","0.685297681266868","",""
"F13.full","0.149124680503533","","","0.679340357193603","0.502996636990453","","0.480803790506882","","","0.619755718772059","0.9152254421682","","","","","","0.100689055968327","",""
"F13.seeds","","","","0.707408737714417","0.692915513075545","","0.639030078272168","","","","","","","","","","0.143428968242225","",""
"F13.crowns","","","","0.856303144423454","0.243654030385888","","0.456174268838958","","","","","","","","","","0.802351746053026","",""
"F13.14.osu.full","0.58542619244523","0.19658725464625","","0.71184495408322","0.762413396403637","","0.142598737860927","0.0335513003305662","","0.638810083288396","0.918507229802812","","","0.331111538938778","","","0.243794032152879","",""
"F13.14.osu.seeds","","0.738959781729781","","0.906699866899404","0.823681917967977","","0.715206825453668","","","","","","","0.496841763319398","","","0.230946432080644","",""
"F13.14.osu.crowns","","0.0659929744828206","","0.806512198710114","0.870895141912385","","0.856985145435174","","","","","","","0.704135806895054","","","0.653727998853293","",""
"F14.full","0.0235147034083843","","0.394590076450526","","0.737860157301424","0.451299266310862","0.476249642590063","","0.432666250351372","","0.877198605795973","0.365211071879444","","","0.146967780260188","0.382051549684942","","","0.734413697216746"
"F14.seeds","","","0.412291855729592","","0.810535491971015","0.826213768535206","0.386523222659309","","","","","","","","0.45098991982617","0.26282888152396","","","0.93513270206056"
"F14.crowns","","","0.876764744086112","","0.853865405664956","0.356899835001326","0.88854104126811","","","","","","","","0.615129595090992","0.970330959648676","","","0.882152308253019"
"F14.osu.full","0.110586196619895","","","0.559135869009055","0.370795004468887","0.135752222499673","0.256873465276396","","","0.549327062197483","0.944112724465453","0.814366562752496","","","","","0.685602243991034","0.568388444426363","0.445237628527229"
"F14.osu.seeds","","","","0.887375278982671","0.462580835888997","0.336778925625212","0.657274916795278","","","","","","","","","","0.655423686349559","0.168435516148939","0.347019889196272"
"F14.osu.crowns","","","","0.67532309541532","0.771166337359014","0.487960166963997","0.932865228186084","","","","","","","","","","0.584742045708149","0.699562411394408","0.81878028562554"
"F14.as.full","0.152336944495807","","","","0.968211388815658","0.686886489623124","0.620167406611799","","","","0.574390153538913","0.408337969777186","","","","","","","0.477671919149706"
"F14.as.seeds","","","","","0.648789779077255","0.449741225631384","0.44899752122299","","","","","","","","","","","","0.922523717247702"
"F14.as.crowns","","","","","","","","","","","","","","","","","","",""
"F14.pc.full","0.480152629171638","","","","0.195539595607418","0.537619709602425","0.646454027935338","","","","0.712812646443566","0.671894612680133","","","","","","","0.688638798354924"
"F14.pc.seeds","","","","","0.361919292899162","0.348919254501045","0.342783661756576","","","","","","","","","","","","0.6042437794799"
"F14.pc.crowns","","","","","0.475744620718565","0.984432064673835","0.86743080882689","","","","","","","","","","","","0.662003471733029"
