"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.056",0.578,"",0.081,"0.001","0.002","0.161","0.483","","0.282","0.524","0.992","","0.154","",""
"F.seeds","","0.001","0.001","0.084",0.483,"",0.497,"","","","","","0.184","0.248","0.884","","0.069","",""
"F.crowns","","0.001","0.403","0.207",0.723,"",0.452,"","","","","","0.401","0.832","0.11","","0.131","",""
"F13.full","0.161","","","0.293",0.879,"",0.064,"","","0.068","0.734","","","","","","0.556","",""
"F13.seeds","","","","0.152",0.443,"",0.249,"","","","","","","","","","0.096","",""
"F13.crowns","","","","0.326",0.533,"",0.319,"","","","","","","","","","0.476","",""
"F13.14.osu.full","0.001","0.001","","0.082",0.768,"",0.695,"0.001","","0.303","0.603","","0.433","0.67","","","0.275","",""
"F13.14.osu.seeds","","0.001","","0.141",0.252,"",0.908,"","","","","","0.327","0.2","","","0.129","",""
"F13.14.osu.crowns","","0.001","","0.294",0.995,"",0.551,"","","","","","0.532","0.945","","","0.204","",""
"F14.full","0.001","","0.001","",0.543,"0.045",0.113,"","0.001","","0.381","0.166","","","0.93","0.271","","","0.793"
"F14.seeds","","","0.001","",0.609,"0.025",0.448,"","","","","","","","0.673","0.076","","","0.71"
"F14.crowns","","","0.504","",0.515,"0.905",0.788,"","","","","","","","0.187","0.93","","","0.997"
"F14.osu.full","0.001","","","0.228",0.714,"0.142",0.941,"","","0.439","0.506","0.205","","","","","0.326","0.982","0.871"
"F14.osu.seeds","","","","0.315",0.363,"0.107",0.962,"","","","","","","","","","0.31","0.902","0.574"
"F14.osu.crowns","","","","0.605",1,"0.656",0.945,"","","","","","","","","","0.183","0.914","0.978"
"F14.as.full","0.001","","","",0.308,"0.047",0.022,"","","","0.148","0.022","","","","","","","0.722"
"F14.as.seeds","","","","",0.966,"0.011",0.153,"","","","","","","","","","","","0.632"
"F14.as.crowns","","","","",1,"1",1,"","","","","","","","","","","","1"
"F14.pc.full","0.001","","","",0.456,"0.169",0.129,"","","","0.042","0.193","","","","","","","0.735"
"F14.pc.seeds","","","","",0.162,"0.03",0.083,"","","","","","","","","","","","0.424"
"F14.pc.crowns","","","","",0.104,"0.945",0.665,"","","","","","","","","","","","0.902"
