"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.126331121618013","0.700654922609255","0.117202030121172","0.850308471987544","0.648722377852206","","0.384980817422422","0.140283632678494","0.162596818292588","0.722100884074952","0.805532117618922","","","0.811183581662838","0.348214774271385","","0.379704102759917","",""
"F.seeds","","0.405651245368211","0.120595594563932","0.935704627758342","0.77428666859966","","0.363149094114734","","","","","","","0.954333428046014","0.646302143068233","","0.333790835598748","",""
"F.crowns","","0.221550451884328","0.808972666037834","0.926882835040729","0.728106090662232","","0.93503466111961","","","","","","","0.887045821105529","0.482659724153638","","0.926865331243485","",""
"F13.full","0.371913486350263","","","0.764130105129639","0.441925861017417","","0.0951744601126093","","","0.481509241442985","0.639829353355353","","","","","","0.12122689088031","",""
"F13.seeds","","","","0.752769491552716","0.777476333851058","","0.177995285445084","","","","","","","","","","0.184550309730931","",""
"F13.crowns","","","","0.991082787769724","0.324564909279587","","0.718886755081869","","","","","","","","","","0.677156574268662","",""
"F13.14.osu.full","0.404488985373932","0.355845000253358","","0.834113886214434","0.862057444611128","","0.0799341173099469","0.0972261489732291","","0.663812769794003","0.92157919254598","","","0.3314129024666","","","0.321332878348107","",""
"F13.14.osu.seeds","","0.736546055822832","","0.940287641848813","0.852046747491533","","0.376306046716785","","","","","","","0.629986903088904","","","0.365864188708014","",""
"F13.14.osu.crowns","","0.140551840768046","","0.905043633107878","0.963739335275778","","0.912606665194259","","","","","","","0.516155477986957","","","0.90502127112343","",""
"F14.full","0.0386727201664006","","0.160983768747357","","0.870401392330135","0.611650290004808","0.717593532562812","","0.183016845060562","","0.999635875400269","0.629634361669299","","","0.364501018231022","0.746435551540574","","","0.959325156670674"
"F14.seeds","","","0.116517209323527","","0.872735581696783","0.787312591044626","0.59343539421111","","","","","","","","0.63076053875076","0.769325271822472","","","0.439791256122473"
"F14.crowns","","","0.85765721357959","","0.963271293697099","0.473012299199461","0.953811407198118","","","","","","","","0.598129920772391","0.972206180542846","","","0.983459515793379"
"F14.osu.full","0.121753015906221","","","0.673723892747544","0.421268424577113","0.400183548999129","0.324935871602079","","","0.714467551824377","0.864177686824087","0.814443764370354","","","","","0.891851692309414","0.457880516002654","0.511409326984974"
"F14.osu.seeds","","","","0.903065972318241","0.631574050761268","0.706607746561078","0.734144441133863","","","","","","","","","","0.859833657851844","0.356548716779051","0.366560899008537"
"F14.osu.crowns","","","","0.767606566321861","0.716030865772621","0.627748662352802","0.956794629376549","","","","","","","","","","0.838350393606587","0.945387263815532","0.795265863425163"
"F14.as.full","0.160382253051515","","","","0.678305197023291","0.569644915946653","0.619960677767425","","","","0.775559137483754","0.665678910335743","","","","","","","0.765908223879082"
"F14.as.seeds","","","","","0.7900782324233","0.789173243529435","0.67996450472219","","","","","","","","","","","","0.597617090186255"
"F14.as.crowns","","","","","","","","","","","","","","","","","","",""
"F14.pc.full","0.764989665565835","","","","0.484285299253447","0.649155980195125","0.800462891226743","","","","0.959166410256205","0.826277490393957","","","","","","","0.928754477406581"
"F14.pc.seeds","","","","","0.499948375137475","0.502904319013656","0.393440929900211","","","","","","","","","","","","0.993238102328679"
"F14.pc.crowns","","","","","0.777448152275913","0.949027719188206","0.938049262096398","","","","","","","","","","","","0.747313677260503"
