"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.963",0.59,"",0.144,"0.001","0.001","0.934","0.302","","","0.99","0.516","","0.1","",""
"F.seeds","","0.001","0.001","0.996",0.678,"",0.702,"","","","","","","0.922","0.55","","0.025","",""
"F.crowns","","0.001","0.001","0.834",0.252,"",0.797,"","","","","","","0.958","0.537","","0.834","",""
"F13.full","0.001","","","0.705",0.801,"",0.782,"","","0.622","0.63","","","","","","0.15","",""
"F13.seeds","","","","0.942",0.829,"",0.95,"","","","","","","","","","0.072","",""
"F13.crowns","","","","0.432",0.668,"",0.542,"","","","","","","","","","0.693","",""
"F13.14.osu.full","0.001","0.001","","0.967",0.637,"",0.985,"0.001","","0.939","0.702","","","0.946","","","0.139","",""
"F13.14.osu.seeds","","0.001","","0.997",0.566,"",0.996,"","","","","","","0.837","","","0.079","",""
"F13.14.osu.crowns","","0.001","","0.779",0.782,"",0.777,"","","","","","","0.861","","","0.752","",""
"F14.full","0.001","","0.001","",0.556,"0.026",0.092,"","0.001","","0.25","0.011","","","0.642","0.012","","","0.794"
"F14.seeds","","","0.001","",0.451,"0.001",0.078,"","","","","","","","0.478","0.001","","","0.717"
"F14.crowns","","","0.001","",0.397,"0.727",1,"","","","","","","","0.922","0.72","","","0.603"
"F14.osu.full","0.001","","","0.769",0.521,"0.002",0.874,"","","0.698","0.554","0.002","","","","","0.12","0.648","0.538"
"F14.osu.seeds","","","","0.806",0.259,"0.001",0.79,"","","","","","","","","","0.353","0.358","0.279"
"F14.osu.crowns","","","","0.904",0.972,"0.56",0.965,"","","","","","","","","","0.598","0.66","0.535"
"F14.as.full","0.001","","","",0.511,"0.342",0.224,"","","","0.274","0.308","","","","","","","0.353"
"F14.as.seeds","","","","",0.822,"0.104",0.112,"","","","","","","","","","","","0.857"
"F14.as.crowns","","","","",0.205,"0.939",0.64,"","","","","","","","","","","","0.073"
"F14.pc.full","0.001","","","",0.31,"0.222",0.075,"","","","0.272","0.39","","","","","","","0.374"
"F14.pc.seeds","","","","",0.233,"0.334",0.018,"","","","","","","","","","","","0.684"
"F14.pc.crowns","","","","",0.428,"0.213",0.094,"","","","","","","","","","","","0.452"
