"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.956",0.51,"",0.024,"0.001","0.001","0.919","0.318","","","0.949","0.401","","0.075","",""
"F.seeds","","0.001","0.001","0.994",0.64,"",0.618,"","","","","","","0.712","0.385","","0.044","",""
"F.crowns","","0.001","0.001","0.842",0.426,"",0.478,"","","","","","","0.988","0.489","","0.515","",""
"F13.full","0.001","","","0.601",0.58,"",0.649,"","","0.533","0.48","","","","","","0.085","",""
"F13.seeds","","","","0.778",0.672,"",0.835,"","","","","","","","","","0.047","",""
"F13.crowns","","","","0.389",0.393,"",0.39,"","","","","","","","","","0.341","",""
"F13.14.osu.full","0.001","0.001","","0.939",0.471,"",0.694,"0.001","","0.86","0.63","","","0.769","","","0.096","",""
"F13.14.osu.seeds","","0.001","","0.992",0.505,"",0.948,"","","","","","","0.554","","","0.101","",""
"F13.14.osu.crowns","","0.001","","0.689",0.823,"",0.586,"","","","","","","0.913","","","0.461","",""
"F14.full","0.001","","0.001","",0.582,"0.042",0.049,"","0.001","","0.227","0.014","","","0.558","0.032","","","0.683"
"F14.seeds","","","0.001","",0.436,"0.002",0.244,"","","","","","","","0.337","0.01","","","0.827"
"F14.crowns","","","0.001","",0.872,"0.669",0.989,"","","","","","","","0.958","0.543","","","0.261"
"F14.osu.full","0.001","","","0.779",0.591,"0.003",0.744,"","","0.56","0.698","0.001","","","","","0.158","0.756","0.482"
"F14.osu.seeds","","","","0.908",0.35,"0.001",0.928,"","","","","","","","","","0.722","0.272","0.597"
"F14.osu.crowns","","","","0.865",0.999,"0.659",0.932,"","","","","","","","","","0.46","0.991","0.212"
"F14.as.full","0.001","","","",0.559,"0.384",0.393,"","","","0.334","0.431","","","","","","","0.61"
"F14.as.seeds","","","","",0.736,"0.292",0.193,"","","","","","","","","","","","0.996"
"F14.as.crowns","","","","",0.353,"0.92",0.544,"","","","","","","","","","","","0.027"
"F14.pc.full","0.001","","","",0.306,"0.2",0.217,"","","","0.247","0.308","","","","","","","0.55"
"F14.pc.seeds","","","","",0.147,"0.348",0.054,"","","","","","","","","","","","0.897"
"F14.pc.crowns","","","","",0.492,"0.226",0.159,"","","","","","","","","","","","0.452"
