"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.606",0.606,"",0.383,"0.001","0.002","0.633","0.33","","","0.75","0.539","","0.064","",""
"F.seeds","","0.001","0.001","0.699",0.76,"",0.513,"","","","","","","0.863","0.565","","0.043","",""
"F.crowns","","0.001","0.001","0.879",0.527,"",0.916,"","","","","","","0.716","0.216","","0.112","",""
"F13.full","0.001","","","0.732",0.706,"",0.388,"","","0.679","0.544","","","","","","0.147","",""
"F13.seeds","","","","0.911",0.913,"",0.276,"","","","","","","","","","0.042","",""
"F13.crowns","","","","0.731",0.503,"",0.324,"","","","","","","","","","0.229","",""
"F13.14.osu.full","0.001","0.001","","0.731",0.635,"",0.802,"0.001","","0.715","0.331","","","0.685","","","0.117","",""
"F13.14.osu.seeds","","0.001","","0.729",0.418,"",0.833,"","","","","","","0.835","","","0.103","",""
"F13.14.osu.crowns","","0.001","","0.874",0.622,"",0.736,"","","","","","","0.613","","","0.151","",""
"F14.full","0.001","","0.001","",0.559,"0.215",0.299,"","0.004","","0.39","0.127","","","0.513","0.23","","","0.402"
"F14.seeds","","","0.001","",0.741,"0.005",0.369,"","","","","","","","0.45","0.001","","","0.86"
"F14.crowns","","","0.001","",0.691,"0.982",0.978,"","","","","","","","0.249","0.815","","","0.174"
"F14.osu.full","0.001","","","0.383",0.444,"0.138",0.766,"","","0.382","0.295","0.039","","","","","0.126","0.453","0.319"
"F14.osu.seeds","","","","0.276",0.288,"0.004",0.846,"","","","","","","","","","0.19","0.368","0.415"
"F14.osu.crowns","","","","0.9",0.705,"0.376",0.93,"","","","","","","","","","0.084","0.313","0.493"
"F14.as.full","0.001","","","",0.313,"0.318",0.281,"","","","0.218","0.266","","","","","","","0.332"
"F14.as.seeds","","","","",0.863,"0.07",0.298,"","","","","","","","","","","","0.916"
"F14.as.crowns","","","","",0.171,"0.887",0.504,"","","","","","","","","","","","0.009"
"F14.pc.full","0.001","","","",0.422,"0.251",0.313,"","","","0.196","0.363","","","","","","","0.309"
"F14.pc.seeds","","","","",0.214,"0.125",0.018,"","","","","","","","","","","","0.452"
"F14.pc.crowns","","","","",0.603,"0.706",0.496,"","","","","","","","","","","","0.522"
