"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation","Residuals","Total","Percent_Explained"
"F.full","7.09480827928709","1.38406296787953","1.0570496664934","0.428050112630533",0.205653407807546,"",7.53655360511713,"1.45119265526993","0.88503420703573","0.424796318387649","0.233890087378988","","","0.197841529986619","0.437566528777566","","0.583962742301818","","",29.0358500497331,50.9563121580866,43.0181486453486
"F.seeds","","1.2554215278328","0.920046426019443","0.41848655373133",0.196824666850855,"",4.43693507800111,"","","","","","","0.184376404472641","0.431377280915457","","0.55412026725421","","",11.9931390849416,20.3907272900194,41.1833677418078
"F.crowns","","1.59264084863714","1.22133715074214","0.431476190277484",0.237203695808334,"",7.43751708596414,"","","","","","","0.223029345249143","0.525931546343941","","0.555299060294795","","",11.246341665463,23.4707765887801,52.0836405948358
"F13.full","2.26045230681287","","","0.198233357502319",0.199918836414932,"",1.21245993447898,"","","0.20222641631337","0.215927410947603","","","","","","0.295858460745731","","",7.92236614775626,12.5074428709721,36.6587860565575
"F13.seeds","","","","0.185538189128512",0.184382093989546,"",1.22952135733297,"","","","","","","","","","0.330690022696609","","",3.04799386139597,4.97812552454361,38.7722578233821
"F13.crowns","","","","0.214511330249572",0.230887447340351,"",1.23010808088485,"","","","","","","","","","0.259588043843756","","",3.33377013729706,5.26886503961559,36.7269779690488
"F13.14.osu.full","3.96398744619488","1.3230943534848","","0.426961182555944",0.211984586354513,"",3.1394738301464,"1.35504792978971","","0.424946013809878","0.247525404003657","","","0.204806598045666","","","0.582602583858513","","",19.7410697447978,31.6214996730417,37.5707352626681
"F13.14.osu.seeds","","1.22179620336155","","0.418486553731331",0.232614751835992,"",3.05337541256433,"","","","","","","0.190134691091591","","","0.554120267254211","","",7.40582965023947,13.0763575300785,43.3647356826666
"F13.14.osu.crowns","","1.44727017832919","","0.431476190277485",0.226934128191758,"",3.33141997499154,"","","","","","","0.227051924516961","","","0.555299060294794","","",8.36170324016665,14.5811546967684,42.6540393126763
"F14.full","6.29849890122486","","1.06387452584626","",0.204733188211724,"0.25975506580285",6.3222841758456,"","0.888607468974394","","0.225106121655545","0.289126398666152","","","0.432920605605284","0.506038880495055","","","0.222827478041367",20.3511770290262,37.0649498393953,45.0932022916284
"F14.seeds","","","0.920046426019443","",0.191047248393708,"0.330984416546935",3.23392759923955,"","","","","","","","0.426135832806235","0.589820451725021","","","0.180186573348684",8.28503168956342,14.157180237643,41.4782354219516
"F14.crowns","","","1.22133715074214","",0.23112727191129,"0.203222381205571",6.22071182541618,"","","","","","","","0.526234579692292","0.457158688877273","","","0.279067926447256",7.4704108762354,16.6092707005274,55.0226436131347
"F14.osu.full","3.04795776974574","","","0.22880545499467",0.217628818805952,"0.293366081645571",1.93563531760522,"","","0.228355663834948","0.244655180028545","0.37534878189785","","","","","0.300406855464369","0.220141617277151","0.235286564078777",10.4618249453639,17.7894130507427,41.1907244183803
"F14.osu.seeds","","","","0.232948364602819",0.232449188261956,"0.427059048731178",1.80675840394491,"","","","","","","","","","0.247305864980755","0.220661563845491","0.219630756994436",3.48962261081176,6.87643580217331,49.2524512523063
"F14.osu.crowns","","","","0.216964860027912",0.232006297226746,"0.255389927664277",2.0980159176221,"","","","","","","","","","0.296856976149949","0.258896723558919","0.246746200224837",4.26014257634886,7.86501947882361,45.8343035536122
"F14.as.full","2.5206729829722","","","",0.215724043746384,"0.21917076443908",2.73605091348316,"","","","0.233283664880826","0.231333495249606","","","","","","","0.215702700632222",3.62296298597342,9.99490155137689,63.7518892272199
"F14.as.seeds","","","","",0.173108009572813,"0.257166735093874",0.646981407470445,"","","","","","","","","","","","0.166887985019024",1.83973502725989,3.08387916441605,40.3434788078586
"F14.as.crowns","","","","",0.257915106385291,"0.196777058221903",2.69809839532004,"","","","","","","","","","","","0.311808222693084",0.925750621368324,4.39034940398864,78.913964785416
"F14.pc.full","1.77937455095036","","","",0.215875412497964,"0.244581903871701",1.42210305045815,"","","","0.253020166436645","0.219641535789387","","","","","","","0.232109658722381",3.82205178423098,8.18875806295756,53.325623313744
"F14.pc.seeds","","","","",0.226189230180174,"0.237486537258255",0.727109927524718,"","","","","","","","","","","","0.209727706888303",1.87630544318274,3.2768188450342,42.7400313561379
"F14.pc.crowns","","","","",0.232024747793023,"0.221821353858128",1.46641974967184,"","","","","","","","","","","","0.236044172750332",0.976254642899685,3.13256466697301,68.8352916320468
