"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.984",0.474,"",0.557,"0.001","0.001","0.737","0.185","","","0.651","0.099","","0.038","",""
"F.seeds","","0.001","0.001","1",0.468,"",0.723,"","","","","","","0.347","0.392","","0.34","",""
"F.crowns","","0.001","0.007","0.482",0.341,"",0.819,"","","","","","","0.656","0.298","","0.081","",""
"F13.full","0.001","","","0.604",0.66,"",0.599,"","","0.467","0.217","","","","","","0.156","",""
"F13.seeds","","","","0.957",0.285,"",0.828,"","","","","","","","","","0.111","",""
"F13.crowns","","","","0.419",0.607,"",0.57,"","","","","","","","","","0.308","",""
"F13.14.osu.full","0.001","0.001","","0.972",0.308,"",0.916,"0.001","","0.741","0.435","","","0.619","","","0.054","",""
"F13.14.osu.seeds","","0.001","","0.999",0.24,"",0.925,"","","","","","","0.332","","","0.4","",""
"F13.14.osu.crowns","","0.001","","0.491",0.779,"",0.586,"","","","","","","0.537","","","0.11","",""
"F14.full","0.001","","0.002","",0.342,"0.054",0.609,"","0.001","","0.191","0.007","","","0.096","0.048","","","0.967"
"F14.seeds","","","0.001","",0.307,"0.001",0.436,"","","","","","","","0.417","0.005","","","0.69"
"F14.crowns","","","0.001","",0.505,"0.229",0.936,"","","","","","","","0.364","0.4","","","0.401"
"F14.osu.full","0.001","","","0.973",0.229,"0.009",0.846,"","","0.596","0.393","0.001","","","","","0.024","0.829","0.881"
"F14.osu.seeds","","","","0.983",0.177,"0.002",0.848,"","","","","","","","","","0.515","0.609","0.471"
"F14.osu.crowns","","","","0.498",0.92,"0.153",0.479,"","","","","","","","","","0.026","0.944","0.065"
"F14.as.full","0.001","","","",0.203,"0.505",0.752,"","","","0.292","0.816","","","","","","","0.465"
"F14.as.seeds","","","","",0.759,"0.714",0.328,"","","","","","","","","","","","0.815"
"F14.as.crowns","","","","",0.193,"0.971",0.932,"","","","","","","","","","","","0.444"
"F14.pc.full","0.001","","","",0.32,"0.103",0.303,"","","","0.614","0.887","","","","","","","0.206"
"F14.pc.seeds","","","","",0.387,"0.37",0.026,"","","","","","","","","","","","0.171"
"F14.pc.crowns","","","","",0.358,"0.111",0.199,"","","","","","","","","","","","0.212"
