"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation","Residuals","Total","Percent_Explained"
"F.full","4.80875469793802","2.23476568877807","0.804808523465177","0.114330700004874",0.106001096658577,"",3.71267141937495,"2.08636323387613","0.744812416502199","0.182395157090832","0.166738784563821","","","0.0898207862824858","0.339059609258209","","0.406324641243316","","",14.6865430037703,30.483389758807,51.8211618852945
"F.seeds","","1.03472485548554","1.2086585821173","0.0740066456444386",0.11817431985493,"",2.30813880022622,"","","","","","","0.137946899656562","0.253581511354328","","0.275425716088692","","",6.7502266599454,12.1608839903734,44.4923028187022
"F.crowns","","3.38501601125692","0.590245722347726","0.211996077381384",0.122979598623764,"",3.27299743892909,"","","","","","","0.0830545227003956","0.257461929661766","","0.355736760558021","","",5.2342630090365,13.5137510704956,61.2671346265626
"F13.full","3.6450960323439","","","0.059974541759642",0.054791372409539,"",0.408210542140847,"","","0.074628970666863","0.134042706842193","","","","","","0.146931648276738","","",3.20921006459813,7.73288587903786,58.4991927360833
"F13.seeds","","","","0.0309443443739771",0.110344781904925,"",0.318574201053646,"","","","","","","","","","0.182362975712137","","",1.22895980292777,1.87118610597245,34.3218828418417
"F13.crowns","","","","0.102266435391341",0.0796145922807313,"",0.473818947365699,"","","","","","","","","","0.120076946574107","","",1.44082681910963,2.2166037407215,34.9984486338259
"F13.14.osu.full","3.2084753755051","1.80342980982059","","0.114250599270404",0.131563087672938,"",1.3653481852856,"1.89880830864204","","0.182117265490785","0.115506557881384","","","0.0913681238227593","","","0.405641225754783","","",10.1080648235704,19.4245733627168,47.9624873359037
"F13.14.osu.seeds","","1.07046251441572","","0.074006645644439",0.166139495903942,"",1.43287024439012,"","","","","","","0.145017787341785","","","0.275425716088692","","",4.22984267766783,7.39376508145254,42.7917626395987
"F13.14.osu.crowns","","2.64238056297745","","0.211996077381385",0.0658875310556177,"",1.53494102363415,"","","","","","","0.0908660708860314","","","0.355736760558021","","",3.92052487926651,8.82233290575916,55.5613586435033
"F14.full","3.34842196008707","","0.790514282166615","",0.128611959361436,"0.221490641538471",3.19120782484411,"","0.753348211436536","","0.159340378181374","0.319954968499315","","","0.338639592842643","0.375019398906181","","","0.0554063762411854",10.8335707134147,20.5155263075196,47.193308370335
"F14.seeds","","","1.2086585821173","",0.143092276907763,"0.38740983859865",1.87489709899608,"","","","","","","","0.247576077127066","0.506385896265222","","","0.0891587428682197",4.79779451603512,9.25497302891542,48.1598217407516
"F14.crowns","","","0.590245722347726","",0.114401153472045,"0.144155786090579",2.75013171192786,"","","","","","","","0.260665297384184","0.257513822242323","","","0.125053619965502",3.66996420508693,7.91213131851714,53.6159846526064
"F14.osu.full","1.47402625140649","","","0.0543785150305391",0.161719699641222,"0.324135950634426",0.951798323514626,"","","0.103710913684245","0.123450817982744","0.586469315522392","","","","","0.29688971235888","0.0774245307250254","0.0675705315737671",5.66791675245671,9.88949131453107,42.6874793435676
"F14.osu.seeds","","","","0.0430623012704618",0.196333912883649,"0.757930032260741",0.960174191244815,"","","","","","","","","","0.115995733710073","0.0995973992253258","0.119854051421422",2.15916883904788,4.45211646106437,51.502417829122
"F14.osu.crowns","","","","0.109729641990044",0.0713891232569122,"0.166158352803213",1.07087639194933,"","","","","","","","","","0.235615610162348","0.0649909636981783","0.205306074693556",2.03928244350664,3.96334860206022,48.5464780350993
"F14.as.full","1.15663330310058","","","",0.155431047215219,"0.110723155704912",1.26480559692179,"","","","0.139541267515474","0.0725983100723626","","","","","","","0.116399067054116",2.07680172897658,5.09293347656104,59.2218956219525
"F14.as.seeds","","","","",0.103805609754272,"0.106631508850307",0.469976020213869,"","","","","","","","","","","","0.0917858451250337",1.26958552522014,2.04178450916362,37.8198081373337
"F14.as.crowns","","","","",0.167910315280754,"0.0691400175447688",1.03002457920561,"","","","","","","","","","","","0.128915737557987",0.498525014707715,1.89451566429683,73.6858858386506
"F14.pc.full","1.67956272614776","","","",0.110393256564754,"0.178181318293323",0.701476266173439,"","","","0.0748448789891625","0.0521099471338711","","","","","","","0.129708511909196",1.76972062731876,4.69599753253026,62.3142768909163
"F14.pc.seeds","","","","",0.0975402930365131,"0.0967129258566109",0.402492080451535,"","","","","","","","","","","","0.119120958231369",0.836547218994104,1.55241347657013,46.1131179534493
"F14.pc.crowns","","","","",0.101436659436916,"0.144339749523874",0.718598376583275,"","","","","","","","","","","","0.121355430077592",0.378291114190714,1.46402132981237,74.1608194848366
