"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","0.001","0.001","0.001","0.972",0.614,"",0.122,"0.001","0.001","0.944","0.288","","","0.993","0.507","","0.106","",""
"F.seeds","","0.001","0.001","0.995",0.668,"",0.702,"","","","","","","0.926","0.518","","0.048","",""
"F.crowns","","0.001","0.001","0.833",0.246,"",0.802,"","","","","","","0.978","0.565","","0.818","",""
"F13.full","0.001","","","0.735",0.789,"",0.769,"","","0.625","0.643","","","","","","0.149","",""
"F13.seeds","","","","0.931",0.828,"",0.955,"","","","","","","","","","0.068","",""
"F13.crowns","","","","0.439",0.662,"",0.537,"","","","","","","","","","0.658","",""
"F13.14.osu.full","0.001","0.001","","0.959",0.635,"",0.988,"0.001","","0.934","0.676","","","0.94","","","0.135","",""
"F13.14.osu.seeds","","0.001","","0.996",0.579,"",0.996,"","","","","","","0.828","","","0.079","",""
"F13.14.osu.crowns","","0.001","","0.756",0.777,"",0.785,"","","","","","","0.868","","","0.731","",""
"F14.full","0.001","","0.001","",0.536,"0.023",0.096,"","0.001","","0.235","0.009","","","0.622","0.012","","","0.818"
"F14.seeds","","","0.001","",0.434,"0.001",0.071,"","","","","","","","0.455","0.001","","","0.732"
"F14.crowns","","","0.001","",0.383,"0.749",0.998,"","","","","","","","0.934","0.701","","","0.63"
"F14.osu.full","0.001","","","0.775",0.499,"0.001",0.879,"","","0.686","0.541","0.001","","","","","0.137","0.633","0.558"
"F14.osu.seeds","","","","0.78",0.233,"0.001",0.794,"","","","","","","","","","0.352","0.392","0.248"
"F14.osu.crowns","","","","0.91",0.964,"0.604",0.962,"","","","","","","","","","0.626","0.672","0.506"
"F14.as.full","0.001","","","",0.524,"0.351",0.236,"","","","0.241","0.311","","","","","","","0.36"
"F14.as.seeds","","","","",0.823,"0.113",0.113,"","","","","","","","","","","","0.865"
"F14.as.crowns","","","","",0.214,"0.937",0.661,"","","","","","","","","","","","0.074"
"F14.pc.full","0.001","","","",0.311,"0.222",0.086,"","","","0.264","0.378","","","","","","","0.346"
"F14.pc.seeds","","","","",0.22,"0.321",0.023,"","","","","","","","","","","","0.697"
"F14.pc.crowns","","","","",0.429,"0.224",0.088,"","","","","","","","","","","","0.459"
